Word,Meaning
a,(a=an) use the adjective eka for the
aback,(adv.) pacchato; paṭimukhaṃ; sahasā.
abandon,(v.t.) cajati; jahāt i; pajahati;
abandonment,(nt.) cajana; pahāna;
abase,(v.t.) avajānāti; avamaññati. (pp.)
abasement,(f.) avaññā. (nt.) avamāna. (m. )
abash,(v.t.) lajjāpeti. (pp.) lajjāpita.
abate,(v.t.) hāpeti; passambheti. (pp.)
abbacy,(nt.) vihārādhipacca.
abbey,(m.) mahāvihāra; padhānassama.
abbot,(m.) vih ārādhipati; assamasāmī.
abbreviate,(v.t.) saṅkhipati; samāseti. (pp.)
abbreviation,(m.) saṅkhepa; saṅgaha. (nt.)
abdicate,(v.t.) dhuraṃ nikkhipati; rajjā
abdication,(m.) dhuranikkhepa;
abdomen,(nt.) udara; jaṭhara. (m.; f.) kucchi.
abdominal,(adj.) udarābaddha.
abduct,(v.t.) avaharati; pasayha harati. (pp.)
abduction,(m.) avahāra. (nt.) sahasāharaṇa.
aberrant,(adj.) udar ābgaddha.
aberration,(nt.) uppathagamana. (m.)
abet,(v.t.) duccaritte upatthambheti;
abeyance,(f.) tāvakālika pas-saddhe. (nt.)
abhorrence,(f.) jigucchā; harāyanā.
abhorrent,(adj.) jigucchājanaka; jigucchaka.
abide,(v.t.i.) vasati; viharati; anuvattati. (pp.)
promise,) paṭiññaṃ moceti. (pp.) dhanaṃ
abiding,(adj.) ciraṭṭhāyī; thira.
ability,(nt.) sāmatthiya. (f.) bhabbatā;
abject,(adj.) dīna; hīna; nīca; adhama.
abjection,(nt.) dīnatta; hīnatta; nīcatta.
abjuration,(m.) sapatha.
abjure,(v.t.) sapati; sapathaṃ karoti. (pp.)
ablative,"(nt.) apādāna, (f.) pañcamī cibhatti."
ablaze,(adj.) āditta; pajjalita; sajotibhūta.
able,(adj.) samattha; bhabba; (2.) dakkha;
able bodied,(adj.) balavantu.
ablution,(nt.) pakkhālana; dhovana;
abnegate,(v.t.) paccakkhāti; paṭikkhipati.
abnegation,(nt.) paccakkhāna. (f.)
abnormal,(adj.) pakativiruddha;
abode,(m.) nivāsa; nilaya; upassaya. (nt.)
abolish,(v.t.) ucchindqati; vināseti;
abolition,(m.) samuccheda; samugghāta.
abominable,(adj.) jeguccha; paṭikkūla.
abominate,(v.t.) jigucchati. (pp.) jigucchita.
abomination,(f.) jigucchā; aṭṭīyanā;
aboriginal,(adj.) ādikappika; adikālika.
aborigines,(m.; plu.) ādikālikā.
abortion,(nt.) gabbhapātana;
abortive,(adj.) gabbhapātaka;
abound,(v.i.) bahulībhavati. (pp.)
about,(prep.; adv.) parito.
